"Function / Thread / Logical Core / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address","PID","TID"
"std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char>>>::_M_extract_int<unsigned long long>","0.029","107328000","536640000","0.2","0","0","1","0","0","0","0","0","0","3.70096e+09","libstdc++-6.dll","std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char>>>::_M_extract_int<unsigned long long>(std::istreambuf_iterator<char, std::char_traits<char>>, std::istreambuf_iterator<char, std::char_traits<char>>, std::ios_base&, std::_Ios_Iostate&, unsigned long long&) const","[Unknown]","0x3be9c9960","0","0"
"std::mutex::lock","0","4992000","0","","0","0","1","0","0","0","0","0","0","","main.exe","std::mutex::lock(void)","std_mutex.h","0x14000e2b0","0","0"
"std::move<unsigned long long&>","0.001","9984000","17472000","0.571429","0","0","1","0","0","0","0","0","0","9.98399e+09","main.exe","std::move<unsigned long long&>(unsigned long long&&&)","move.h","0x140013ac0","0","0"
"std::move<std::function<void (void)>&>","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","main.exe","std::move<std::function<void (void)>&>(std::function<void (void)>&&&)","move.h","0x140013a90","0","0"
"std::locale::id::_M_id","0","0","19968000","0","0","0","1","0","0","0","0","0","0","0","libstdc++-6.dll","std::locale::id::_M_id(void) const","[Unknown]","0x3be9a2d40","0","0"
"std::istreambuf_iterator<char, std::char_traits<char>>::equal","0","9984000","0","","0","0","1","0","0","0","0","0","0","","libstdc++-6.dll","std::istreambuf_iterator<char, std::char_traits<char>>::equal(std::istreambuf_iterator<char, std::char_traits<char>> const&) const","[Unknown]","0x3be99d0c0","0","0"
"std::istream::sentry::sentry","0.001","2496000","9984000","0.25","0","0","1","0","0","0","0","0","0","2.496e+09","libstdc++-6.dll","std::istream::sentry::sentry(std::istream&, bool)","[Unknown]","0x3be9f75e0","0","0"
"std::istream::_M_extract<unsigned long long>","0.001","0","2496000","0","0","0","1","0","0","0","0","0","0","0","libstdc++-6.dll","std::istream::_M_extract<unsigned long long>(unsigned long long&)","[Unknown]","0x3be9f5e40","0","0"
"std::function<void (void)>::operator()","0","0","0","0","0","","","0","0","0","0","0","0","0","main.exe","std::function<void (void)>::operator()(void) const","std_function.h","0x14000a0f0","0","0"
"std::function<void (void)>::function","0.002","0","0","0","0","0","1","0","0","0","0","0","0","0","main.exe","std::function<void (void)>::function(std::function<void (void)>&&)","std_function.h","0x140011980","0","0"
"std::condition_variable::wait","0","0","0","0","0","0","1","0","0","","","0","0","0","libstdc++-6.dll","std::condition_variable::wait(std::unique_lock<std::mutex>&)","[Unknown]","0x3bea4c850","0","0"
"std::codecvt<char, char, _Mbstatet>::do_always_noconv","0","2496000","0","","0","0","1","0","0","0","0","0","0","","libstdc++-6.dll","std::codecvt<char, char, _Mbstatet>::do_always_noconv(void) const","[Unknown]","0x3be9bf130","0","0"
"std::basic_streambuf<char, std::char_traits<char>>::xsputn","0","0","7488000","0","0","0","1","0","0","0","0","0","0","0","libstdc++-6.dll","std::basic_streambuf<char, std::char_traits<char>>::xsputn(char const*, long long)","[Unknown]","0x3bea414d0","0","0"
"std::basic_filebuf<char, std::char_traits<char>>::xsputn","0.002","0","4992000","0","0","0","1","0","0","0","0","0","0","0","libstdc++-6.dll","std::basic_filebuf<char, std::char_traits<char>>::xsputn(char const*, long long)","[Unknown]","0x3bea2eaa0","0","0"
"std::basic_filebuf<char, std::char_traits<char>>::underflow","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","libstdc++-6.dll","std::basic_filebuf<char, std::char_traits<char>>::underflow(void)","[Unknown]","0x3bea2f380","0","0"
"std::_Vector_base<unsigned long long, std::allocator<unsigned long long>>::_Vector_base","0","2496000","0","","0","0","1","0","0","0","0","0","0","","main.exe","std::_Vector_base<unsigned long long, std::allocator<unsigned long long>>::_Vector_base(unsigned long long, std::allocator<unsigned long long> const&)","stl_vector.h","0x14000c650","0","0"
"std::_Vector_base<unsigned long long, std::allocator<unsigned long long>>::_M_get_Tp_allocator","0","0","0","0","0","0","1","0","0","","","0","0","0","main.exe","std::_Vector_base<unsigned long long, std::allocator<unsigned long long>>::_M_get_Tp_allocator(void)","stl_vector.h","0x14000c5f0","0","0"
"std::__int_to_char<char, unsigned long long>","0.002","9984000","59904000","0.166667","0","0","1","0","0","0","0","0","0","4.992e+09","libstdc++-6.dll","std::__int_to_char<char, unsigned long long>(char*, unsigned long long, char const*, std::_Ios_Fmtflags, bool)","[Unknown]","0x3bea87d40","0","0"
"std::__fill_a1<unsigned long long*, unsigned long long>","0.011","47424000","59904000","0.791667","0","0","1","0","0","0","","","","4.31127e+09","main.exe","std::__fill_a1<unsigned long long*, unsigned long long>(unsigned long long*, unsigned long long*, unsigned long long const&)","stl_algobase.h","0x140014520","0","0"
"RtlUnicodeToMultiByteN","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","RtlUnicodeToMultiByteN","[Unknown]","0x1800a7970","0","0"
"RtlSleepConditionVariableCS","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","RtlSleepConditionVariableCS","[Unknown]","0x18008e640","0","0"
"RtlRestoreLastWin32Error","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","RtlRestoreLastWin32Error","[Unknown]","0x18000c3e0","0","0"
